Company Name,Address,City/Community,Employee Size,Annual Sales (If known),Description,Key Contact(s),Number,Foundation/Involvement ,Membership Level,Partner Type
"Mikron Industries/Quanex Window & Door Systems, Inc","501 N. Elida St. Winnebago, IL 61088",Winnebago,150,N/A,Building Materials,Mr Bob McGarry (Operations Manager) Ms Cheryl Roettger (HR Manager),815-335-2372,,Silver,Business I 
Flat Rolled/Rubin & Co/Metal USA,"305 Peoples Ave. Rockford, IL 61104",Rockford,100,$50Mil,Mining & Metals,Mr Pete Lent (President) Mr Jay Klotz (GM),815-964-9471,,Silver,Business I 
Grupo Antolin Illinois,"642 Crystal Pkwy. Belvidere, IL 61008",Belvidere,180,N/A,Automotive,Ms Melissa Garry (HR),815-544-8020,,Silver,Business I 
International Automotive Components,"1236 Crosslink Pkwy. Belvidere, IL 61008",Belvidere,200,N/A,Automotive,Mr. Collin Brown (Plant Manager),815-544-1777,,Silver,Business I 
100 to 249 Employees Above ^^^,,,,,,,,,,
250+ Employees Below ,,,,,,,,,,
Bergstrom Inc,"2390 Blackhawk Rd. Rockford, IL 61109",Rockford,450,N/A,Transportation/Trucking/Railroad,Mr Jack Shaffer (President) Mr Jim Schmitt (Director/HR) ,815-874-7821,,Silver,Business II
"Clark, A Clarcor Co. J.L","923 23rd Ave. Rockford, IL 61104",Rockford,350,Over $70Mil,Packaing & Containers,Mr Phil Baerenwald (President) Mr Walt Pietrich (VP/Operations) Mr William Holiday (VP),815-962-8861,,Silver,Business II
Concentric AB,"2222 15th St. Rockford, IL 61104",Rockford,290,$25Mil-$100Mil,Machinery,"Mr Martin Bradford (Sr, VP) Mr Brian Nelson (Sr. VP/Strategy Development) Mr Jesse Smith (VP/GM) ",815-398-4400,,Silver,Business II
FCA US LLC,"3000 W. Chrysler Dr. Belvidere, IL 61008",Belvidere,"4,887",$1Bil,Automotive,Mr Andy McDermott (Comptroller) Mr Kurt Kavajecz (Plant Manager),815-547-2200,,Trail Blazer,Business II
Gleason Cutting Tools Corp,"1351 Windsor Rd. Loves Park, IL 61111",Loves Park,350,$50Mil-$100Mil,Machinery,Mr Bob Philips (Sr VP) Mr Barry Packard (VP) Ms Tina Thunberg (HR Manager),815-877-8900,,Silver,Business II
"Greenlee, A Textron Corp","4455 Boeing Dr. Rockford, IL 61109",Rockford,"1,000",$10Mil-$25Mil,Consumer Goods,Mr Scott Hall (President) Mr Nathan Harwood (VP/CIO) Mr Lloyd Everard (VP/HR) ,815-397-7070,,Silver,Business II
Gunite Corp,"302 Peoples Ave. Rockford, IL 61104",Rockford,368,N/A,Transportation/Trucking/Railroad,Mr Brent Williams (Controller) Mr Ed Bledsoe (GM),815-964-3301,,Silver,Business II
"Ingersoll Machine Tools, Inc","707 Fulton Ave. Rockford, IL 61103",Rockford,500,$25Mil-$50Mil,Machinery,Mr Tino Oldani (CEO) Mr Larry Mocadio (CFO) Ms Miki Leombruni (HR),815-987-6000,,Silver,Business II
Liebovich Steel & Aluminum Co.,"2116 Preston St. Rockford, IL 61102",Rockford,250,N/A,Warehousing,Mr David Corirossi (President) Mr Tom Costello (VP) Mr PAt Tulley (VP),815-987-3200,,Silver,Business II
"Rockford Products, LLC","707 Harrison Ave. Rockford, IL 61104",Rockford,300,N/A,Automotive,Mr Dave Richenson (CEO) Mr Charles Beto (CFO) Ms Nikki Schiro (HR),815-397-6000,,Silver,Business II
Danfoss Power Electronics,"4401 N. Bell School Rd. Loves Park, IL 61111",Loves Park,350,$50Mil,Mechanical/Industrial,Mr Arnaldo Ricca (President) Mr Jan Ambaek (CFO) Ms Kimberly Kuborn (HR Manager),815-639-8600,,Silver,Business II
Android Industries Belvidere,"1222 Crosslink Pkwy. Belvidere, IL 61008",Belvidere,250,N/A,Automotive,Mr Skip McCrone (Plant Manager),815-547-3742,,Silver,Business II
Rockford Toolcraft,"766 Research Pkwy. Rockford, IL 61109",Rockford,300,$11Mil-$25Mil,Machinery,Mr Thomas Busse (President) Mr Robert Lindwall (Controller) Mr Peter Mckee (Plant Manager) Mr Daniel Mckee (HR),815-398-5507,,Silver,Business II
International Automotive Components,"857 Landmark Dr. Belvidere, IL 61008",Belvidere,400,$50Mil-$100Mil,Automotive,"Mr Joe Warrington (Plant Manager), Ms Shannon West (HR Manager)",815-544-4800,,Silver,Business II
,,,,,,,,,,
Tech College,,,,,,,,,,
Rock Valley College,"3301 N Mulford Rd, Rockford, IL 61114",Rockford,,,,"Mike Mastroianni (President), Melvin Allen (Executive Director of Student Recruitment), Roy Geary (VP, Career & Tech Ed./Outreach)",815-921-7821,,,Tech College
,,,,,,,,,,
High School Districts,,,,,,,,,,
Rockford Public Schools,"501 7th., Rockford, IL 61104",Rockford,,,,Dr. Ehren Robert Jarrett (Superintendent),815-966-3000,,,School District
---Auburn High School-Main Campus,"5110 Auburn St., Rockford, IL 61101",Rockford,,,,Janice Hawkins (Principal) ,815-966-3300,,,High School
---Rockford East High School,"2929 Charles St., Rockford, IL 61108",Rockford,,,,Dr. Peter Verona (Principal),815-229-2100,,,High School
---Guilford High School,"5620 Spring Creek Rd., Rockford, IL 61114",Rockford,,,,Jennifer Lawrence (Principal),815-654-4870,,,High School
---Jefferson High School,"4145 Samuelson Rd., Rockford, IL 61109",Rockford,,,,Don Rundall (Principal),815-874-9536,,,High School
---Roosevelt Community Education Center,"978 Haskell Ave., Rockford, IL 61103",Rockford,,,,Dr. Heidi Houy (Principal),815-966-3250,,,High School
Belvidere School District,"1201 5th Ave., Belvidere, IL 61008",Belvidere,,,,Cheryl Gieseke (Superintendent-Temporary Interim),815-544-0301,,,School District
---Belvidere High School,"1500 East Ave., Belvidere, IL 61008",Belvidere,,,,Mr. Matt Zickert (Principal),815-547-6345,,,High School
---Belvidere North High School,"9393 Beloit Rd., Belvidere, IL 61008",Belvidere,,,,Marc Eckmann (Principal),815-544-2636,,,High School
